type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,20777,0,34,0,0,0.190403,128,[34 32 2 0 0 0 0 0 0 0 0 0 -8 -32 -9 -33 -10 -34 -10 -34 -10 -36 -9 -35 -10 -37 -11 -36 -9 -38 -8 -39 -7 -40 -6 -41 -6 -39 -5 -39 -4 -37 -6 -39 -4 -36 -2 -36 -2 -34 -3 -33 -1 -32 -2 -31 -1 -28 -3 -28 -3 -28 -3 -25 0 0 -2 -23 -4 -21 -4 -19 -4 -19 -4 -17 -5 -17 -4 -15 -5 -14 -5 -11 -6 -10 -6 -9 -6 -7 -7 -7 -7 -5 -7 -4 -7 -3 -7 -3 -7 -2 -7 -1 -5 -1 -5 0 -4 1 -2 3 -2 3 -1 5 -1 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,34424,0,131,0,0,0.203655,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -16 23 -17 24 -16 25 -16 25 -16 26 -18 26 -18 27 -19 27 -18 27 -21 28 -20 28 -22 27 -21 26 -22 26 -22 24 -22 25 -21 23 -21 22 -21 20 -20 20 -19 19 -18 19 -18 17 -17 18 -16 17 -14 16 0 0 -13 14 -12 15 -11 14 -11 13 -9 12 -8 12 -7 11 -6 10 -5 10 -4 9 -3 9 -3 8 0 8 1 7 0 6 1 6 2 5 2 5 3 4 2 3 2 2 3 1 1 0 3 -1 3 -2 3 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4038638,0,30,0,0,4.2079,128,[30 -32 1 0 0 0 0 0 0 0 0 0 25 12 27 12 28 12 28 12 28 14 28 15 29 14 28 15 28 15 28 16 29 17 28 16 29 17 27 16 27 16 28 15 25 15 24 16 25 15 24 13 23 13 22 13 20 12 21 12 20 12 19 11 0 0 16 10 15 7 15 6 13 6 12 5 11 4 10 3 9 3 8 1 7 1 6 2 5 0 3 0 3 -1 3 -2 1 -1 0 -1 0 -1 -1 -2 -2 -2 -4 -1 -4 -3 -4 -2 -7 -1 -7 -3 -9 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-85,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4809530,0,363,0,0,4.97915,128,[107 -79 22 0 -14 18 -15 22 -13 17 -12 13 -12 16 -10 7 -15 10 -16 8 -21 2 -20 1 -19 -2 -19 1 -14 -7 -16 -4 -11 -9 -10 -11 -11 -17 -6 -13 -6 -11 -1 -12 -4 -9 1 -9 1 -8 3 -8 1 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 1 -11 0 -9 5 -15 0 -14 -1 -19 -1 -13 0 -15 0 -21 5 -15 0 -15 7 -19 11 -19 14 -20 12 -19 15 -17 19 -13 26 -15 23 -16 24 -16 26 -12 29 -13 30 -21 31 -13 34 -13 25 -7 26 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-82,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4837085,0,363,0,0,5.00602,128,[107 -79 22 0 -10 19 -3 29 -1 25 1 25 8 24 9 27 8 32 12 32 11 33 5 35 9 35 2 34 -1 32 -3 34 -1 30 -2 30 -9 24 -10 21 -12 16 -9 13 -5 7 -3 10 -2 9 -2 5 -1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -4 2 -9 2 -7 1 -10 0 -10 2 -12 2 -10 0 -13 5 -10 0 -12 2 -12 2 -14 6 -15 10 -16 10 -14 9 -14 11 -19 10 -21 17 -21 15 -19 15 -17 16 -14 18 -12 18 -13 16 -8 16 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5341683,0,363,0,0,5.51114,128,[107 -79 22 0 -2 5 1 5 2 3 3 3 4 1 6 0 5 -2 4 -4 5 -6 5 -8 4 -9 5 -9 4 -10 3 -13 3 -12 4 -10 3 -11 3 -8 3 -8 2 -7 1 -6 0 -4 -1 -4 -1 -3 -3 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 11 -16 9 -18 5 -19 2 -22 -1 -23 -4 -25 -5 -27 -9 -29 -11 -29 -15 -30 -16 -30 -18 -31 -18 -32 -18 -31 -18 -32 -15 -30 -14 -31 -13 -28 -9 -27 -7 -27 -5 -23 -3 -21 -1 -17 0 -13 1 -9 2 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5341982,0,369,0,0,5.5176,128,[113 17 23 0 -1 7 2 4 3 2 4 1 4 0 4 -2 4 -3 3 -5 4 -8 2 -8 1 -10 0 -11 1 -12 1 -14 0 -13 1 -12 1 -12 1 -12 1 -10 1 -8 0 -6 -1 -3 -2 -4 -2 -1 -4 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 15 -16 12 -19 8 -21 6 -24 3 -27 1 -29 -2 -32 -6 -34 -7 -35 -11 -36 -11 -38 -12 -38 -14 -39 -14 -39 -12 -39 -9 -37 -8 -37 -5 -34 -4 -31 -2 -30 1 -27 1 -23 3 -17 5 -13 5 -10 6 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5342286,0,267,0,0,5.52327,128,[11 -79 16 0 -4 2 -2 3 2 5 4 4 5 -1 4 0 5 -2 7 -4 5 -4 6 -8 7 -8 6 -10 5 -11 5 -11 6 -14 6 -10 3 -13 4 -9 3 -9 1 -8 1 -6 0 -4 -3 -3 -2 -3 -3 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 8 -22 4 -21 -1 -23 -6 -22 -10 -24 -14 -24 -16 -24 -21 -26 -24 -25 -25 -25 -29 -26 -29 -29 -31 -25 -31 -30 -30 -29 -27 -28 -28 -28 -22 -29 -21 -26 -16 -27 -13 -21 -11 -18 -7 -17 -7 -17 -2 -12 1 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6481316,0,131,0,0,6.65099,128,[-125 48 8 0 0 0 0 0 0 0 0 0 27 5 28 5 30 5 30 5 32 6 32 7 32 6 33 8 34 8 34 9 34 11 34 11 34 11 33 11 31 12 33 11 30 11 29 12 28 12 27 11 25 11 25 10 23 10 23 9 22 8 20 7 0 0 18 6 17 4 16 3 15 3 14 2 13 1 12 0 11 -1 11 -2 9 -3 9 -3 8 -2 6 -4 6 -4 5 -5 4 -6 3 -5 2 -6 2 -5 1 -5 1 -4 -1 -4 -2 -5 -4 -3 -4 -3 -7 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6481760,0,135,0,0,6.65694,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -9 -23 -11 -23 -12 -25 -10 -24 -12 -27 -12 -26 -13 -27 -12 -27 -12 -29 -10 -31 -10 -32 -8 -30 -7 -29 -7 -30 -8 -30 -10 -32 -7 -28 -6 -28 -5 -27 -6 -27 -6 -25 -5 -24 -4 -22 -5 -22 -4 -20 -4 -19 0 0 -6 -17 -7 -16 -7 -14 -7 -13 -6 -11 -8 -11 -9 -10 -6 -9 -7 -7 -8 -7 -7 -5 -7 -6 -6 -3 -7 -2 -6 -1 -6 -1 -5 -2 -6 0 -6 1 -5 1 -3 0 -3 3 0 3 -2 3 -1 2 4 5 0 0 0 0 0 0 0 0 0 0 ]
