type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,17554,0,34,0,0,0.186349,128,[34 32 2 0 0 0 0 0 0 0 0 0 19 10 20 10 22 10 21 9 23 10 23 10 24 10 24 12 26 12 26 13 26 13 27 14 27 14 26 14 25 15 26 15 22 15 24 15 22 15 22 15 21 15 21 15 19 14 19 13 19 13 17 12 0 0 16 11 16 10 14 9 14 8 13 7 12 6 11 5 10 5 9 4 8 3 8 1 6 2 6 1 5 0 5 -1 4 -2 4 -3 3 -3 2 -3 2 -5 2 -4 0 -5 -1 -4 -1 -5 -2 -6 -3 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,30505,0,131,0,0,0.198907,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 -22 2 -23 1 -24 1 -25 0 -26 1 -27 1 -27 1 -28 1 -30 2 -30 2 -31 2 -31 3 -31 2 -31 3 -30 3 -32 4 -29 4 -28 5 -29 4 -28 5 -26 5 -26 6 -24 4 -24 4 -23 4 -22 0 0 2 -20 2 -19 2 -18 0 -17 0 -16 0 -15 -1 -13 0 -12 0 -11 -1 -11 -1 -9 -2 -8 -3 -6 -4 -6 -3 -5 -3 -3 -4 -3 -4 -3 -4 -1 -4 0 -5 0 -4 1 -4 3 -4 4 -3 4 -4 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4034771,0,30,0,0,4.2032,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -13 -22 -14 -23 -15 -24 -16 -25 -15 -26 -14 -27 -15 -28 -14 -28 -15 -29 -13 -29 -13 -31 -12 -32 -11 -31 -11 -31 -11 -30 -12 -30 -9 -28 -9 -28 -9 -28 -10 -27 -9 -25 -9 -25 -7 -23 -8 -24 -9 -23 -9 -23 0 0 -9 -20 -10 -18 -9 -18 -10 -17 -8 -17 -9 -14 -9 -14 -8 -13 -8 -11 -8 -10 -8 -9 -8 -7 -7 -7 -9 -5 -8 -4 -8 -4 -9 -3 -9 -3 -8 -1 -8 -1 -8 -1 -8 0 -7 0 -7 1 -7 2 -7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-86,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4780799,0,363,0,0,4.94958,128,[107 -79 22 0 -21 18 -24 19 -24 16 -21 18 -22 15 -22 17 -16 19 -14 17 -18 12 -21 20 -20 13 -22 12 -20 11 -23 10 -24 7 -23 3 -24 -2 -16 -2 -16 -6 -20 -6 -13 -6 -13 -4 -13 -8 -7 -8 -7 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 8 6 5 4 6 6 5 7 1 9 -3 9 1 9 0 16 0 8 -4 11 -9 10 -8 6 -4 11 -6 3 -4 11 -10 -2 -1 -1 -6 -8 -4 -6 -2 -13 3 -12 3 -13 7 -18 7 -20 11 -23 16 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-82,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4807656,0,363,0,0,4.97577,128,[107 -79 22 0 -2 -6 3 -3 -2 -3 -3 2 -2 0 -1 3 -4 -3 -2 5 -2 10 -4 4 -7 8 -5 8 -7 2 -9 3 -8 4 -12 1 -10 -3 -12 -3 -11 -8 -9 -6 -9 -8 -4 -12 2 -15 7 -15 6 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -4 3 -7 7 -12 7 -13 9 -18 15 -22 12 -20 18 -25 14 -29 19 -28 19 -32 21 -33 20 -30 18 -33 18 -32 17 -34 14 -29 14 -33 14 -33 7 -30 14 -31 7 -27 9 -24 8 -22 9 -17 3 -17 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-86,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4883217,0,363,0,0,5.05133,128,[107 -79 22 0 -21 -20 -24 -17 -22 -13 -23 -11 -21 -20 -22 -15 -21 -10 -24 -11 -18 -9 -17 -16 -17 -12 -18 -17 -13 -17 -13 -18 -15 -23 -13 -18 -5 -20 -5 -13 -8 -21 -2 -14 4 -13 0 -16 2 -12 1 -12 5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 7 -5 3 -9 6 -5 7 -5 7 -2 10 0 11 -3 9 5 12 3 13 1 10 8 12 3 6 10 5 7 4 6 0 2 -2 2 -4 0 -8 -1 -9 -7 -13 -2 -13 -10 -17 -15 -19 -11 -19 -13 -22 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-73,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5312663,0,363,0,0,5.48116,128,[107 -79 22 0 18 25 19 24 20 22 20 22 21 17 20 17 21 15 21 14 20 14 19 14 17 15 16 16 16 17 14 19 13 19 12 21 11 22 9 23 6 25 5 26 2 26 -1 29 -5 27 -7 27 -11 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -8 13 -6 12 -5 13 -5 12 -5 13 -4 12 -4 10 -4 7 -5 6 -4 6 -2 2 -2 -2 -2 -4 1 -6 2 -7 5 -8 11 -9 13 -7 15 -7 19 -3 22 -3 24 2 26 3 27 8 28 11 29 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-73,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5312972,0,369,0,0,5.48706,128,[113 17 23 0 15 25 18 27 18 21 20 22 23 18 23 15 22 15 21 14 20 12 21 13 18 13 19 15 18 16 14 16 16 20 14 20 14 21 11 23 9 23 6 24 4 25 3 25 0 29 -3 28 -8 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -6 14 -5 12 -3 15 -2 14 -2 12 -3 10 -3 11 -3 8 -2 7 -4 3 -3 2 -3 -3 -2 -3 0 -6 2 -7 6 -9 8 -7 12 -7 16 -5 18 -3 21 0 24 3 26 1 28 9 30 10 31 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-73,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5313275,0,267,0,0,5.49249,128,[11 -79 16 0 15 29 17 27 16 25 16 23 16 21 19 17 17 19 19 19 20 19 18 17 14 17 15 17 13 20 13 19 10 20 10 21 4 23 5 25 1 25 -2 24 -1 24 -2 28 -8 26 -12 26 -15 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -7 14 -5 15 -4 13 -2 13 -3 13 -1 11 -3 11 -2 7 -2 7 -5 4 -3 1 -2 -2 -1 -4 1 -7 3 -8 3 -10 6 -9 13 -8 16 -8 18 -8 24 -3 23 -3 27 2 27 3 30 7 31 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6481179,0,131,0,0,6.65,128,[-125 48 8 0 0 0 0 0 0 0 0 0 0 -20 0 -21 0 -21 -1 -22 -1 -22 -1 -23 -1 -23 0 -24 0 -25 2 -26 2 -26 2 -26 3 -26 3 -26 5 -24 3 -25 4 -24 5 -23 5 -22 4 -21 4 -20 4 -20 4 -18 3 -18 3 -17 3 -17 0 0 2 -14 1 -14 1 -13 1 -13 0 -12 0 -11 -1 -10 -1 -10 -1 -9 -3 -7 -3 -7 -3 -7 -3 -5 -4 -5 -4 -5 -5 -3 -5 -3 -5 -3 -5 -2 -5 -1 -6 -1 -5 -1 -5 1 -5 0 -5 1 -4 2 0 0 0 0 0 0 0 0 0 0 ]
