type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,20188,0,34,0,0,0.191382,128,[34 32 2 0 0 0 0 0 0 0 0 0 20 -16 21 -18 21 -19 23 -20 24 -19 24 -18 24 -20 25 -20 25 -19 27 -18 27 -18 28 -18 28 -18 28 -17 26 -16 27 -17 27 -14 26 -14 25 -13 24 -13 23 -12 22 -12 21 -11 20 -11 19 -11 18 -11 0 0 16 -10 14 -11 14 -11 12 -11 11 -10 10 -10 9 -10 8 -9 7 -9 6 -9 5 -9 4 -8 3 -7 1 -8 1 -7 0 -7 -2 -7 -2 -6 -4 -6 -4 -5 -5 -4 -6 -5 -7 -4 -8 -3 -9 -3 -10 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,33690,0,131,0,0,0.204496,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -26 4 -28 4 -28 4 -30 5 -30 4 -32 4 -32 5 -32 4 -33 4 -33 3 -35 3 -35 2 -34 2 -34 1 -34 0 -34 1 -32 -1 -30 -2 -31 -2 -28 -2 -28 -2 -28 -2 -25 -1 -25 -1 -24 -1 -23 1 0 0 -21 1 -20 2 -19 2 -18 2 -17 2 -16 3 -15 3 -12 3 -12 4 -11 3 -11 4 -9 3 -8 4 -7 5 -5 4 -5 6 -4 6 -3 6 -1 6 -1 5 0 6 2 6 2 5 3 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4037844,0,30,0,0,4.20868,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -28 -11 -31 -12 -31 -13 -32 -14 -31 -15 -32 -17 -31 -17 -30 -19 -30 -18 -29 -18 -32 -20 -31 -20 -29 -20 -28 -20 -27 -21 -28 -20 -26 -19 -24 -19 -25 -19 -24 -17 -22 -15 -22 -15 -20 -14 -22 -12 -22 -11 -22 -10 0 0 -20 -8 -21 -8 -21 -6 -19 -6 -18 -6 -18 -5 -18 -4 -16 -3 -16 -3 -15 -2 -16 -2 -15 -1 -13 -1 -13 0 -12 0 -12 1 -11 1 -10 1 -9 2 -8 2 -7 1 -7 2 -6 1 -6 3 -3 2 -3 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-83,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4793897,0,363,0,0,4.96509,128,[107 -79 22 0 -15 -16 -18 -16 -16 -16 -17 -17 -15 -16 -12 -17 -17 -19 -16 -19 -3 -23 -5 -21 -8 -28 -2 -21 -2 -22 2 -21 8 -24 14 -20 16 -13 16 -13 16 -10 17 -4 16 -1 10 0 11 2 8 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 7 16 7 20 12 19 11 19 5 20 4 19 2 21 -2 28 -1 25 -5 28 -6 26 -12 28 -14 27 -14 26 -17 19 -13 21 -15 16 -13 15 -16 10 -19 2 -16 1 -21 -1 -23 -8 -15 -7 -23 -6 -16 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-88,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4866507,0,363,0,0,5.03703,128,[107 -79 22 0 -2 8 7 10 5 12 6 4 6 8 6 10 14 13 14 10 6 10 2 7 8 10 5 8 5 9 6 6 0 5 4 1 0 6 0 5 1 1 1 8 4 0 2 9 7 7 4 9 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 5 -2 3 -8 7 -7 4 -8 5 -14 2 -7 8 -12 3 -11 7 -14 3 -13 6 -17 6 -21 4 -16 2 -15 3 -15 -1 -13 0 -14 0 -13 2 -13 1 -9 6 -5 2 -7 6 -6 5 -1 7 0 8 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-70,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5299820,0,363,0,0,5.47084,128,[107 -79 22 0 -4 -5 -3 -4 -2 -4 -1 -3 2 -2 2 -3 4 -2 5 -2 6 -1 7 -1 8 -1 8 1 12 2 9 2 8 3 9 3 8 4 8 2 6 4 5 3 5 3 2 3 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -20 -9 -23 -8 -25 -10 -26 -9 -28 -9 -29 -10 -31 -11 -32 -12 -32 -11 -33 -11 -33 -12 -33 -11 -33 -12 -31 -10 -30 -10 -29 -10 -26 -10 -24 -10 -23 -10 -21 -8 -18 -9 -16 -7 -14 -6 -13 -5 -11 -6 -9 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-70,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5300119,0,369,0,0,5.477,128,[113 17 23 0 -6 3 -6 1 -3 0 -4 0 -3 -1 -3 -3 -4 -4 -2 -6 0 -8 0 -10 0 -10 0 -11 2 -12 3 -13 3 -12 5 -12 4 -12 6 -10 5 -9 6 -8 4 -5 4 -4 2 -3 2 -2 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -24 6 -26 4 -27 5 -30 5 -30 5 -34 5 -34 5 -36 6 -37 6 -38 6 -39 7 -38 7 -37 7 -35 8 -33 8 -33 7 -31 8 -28 8 -26 7 -24 7 -21 6 -18 6 -17 6 -14 7 -12 3 -10 5 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-70,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5300423,0,267,0,0,5.48247,128,[11 -79 16 0 1 6 0 5 0 3 -1 3 -1 3 -5 1 -6 0 -5 1 -8 0 -7 0 -11 -3 -11 -4 -12 -4 -12 -5 -11 -4 -11 -5 -9 -6 -8 -6 -9 -7 -6 -7 -4 -7 -3 -3 -2 -2 -1 -2 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 24 2 24 2 27 2 27 4 31 1 30 4 34 2 35 5 38 2 39 4 36 4 39 3 38 4 37 4 34 6 33 6 29 6 27 6 24 5 23 5 19 5 19 5 16 4 15 2 12 4 9 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6481288,0,131,0,0,6.65254,128,[-125 48 8 0 0 0 0 0 0 0 0 0 24 4 23 4 24 3 26 3 26 4 27 3 28 4 28 5 29 5 30 6 31 5 31 7 30 7 30 7 28 8 31 8 28 8 27 9 26 9 25 8 24 8 24 8 22 8 23 6 22 6 20 6 0 0 19 5 18 4 17 4 16 2 16 2 15 2 14 2 13 0 12 0 11 0 10 -2 8 -2 8 -2 7 -3 7 -4 6 -5 4 -5 4 -5 4 -5 1 -5 1 -5 0 -5 0 -6 -1 -5 -3 -5 -4 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6481732,0,135,0,0,6.65832,128,[-121 112 8 0 0 0 0 0 0 0 0 0 13 15 15 14 15 14 16 17 16 16 17 17 17 18 17 19 17 18 16 19 18 21 16 21 17 21 16 20 15 22 16 20 15 21 15 22 12 20 13 19 12 19 12 18 10 17 11 17 11 17 11 16 0 0 11 15 11 13 9 11 8 10 9 11 8 9 8 9 7 7 8 7 6 6 6 5 7 4 5 2 7 3 7 2 6 0 5 0 6 0 5 0 3 -2 2 -2 3 -2 2 -3 1 -4 0 -4 1 -4 0 0 0 0 0 0 0 0 0 0 ]
