type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,A4:CF:12:33:A5:DD,-72,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,17936,0,34,0,0,0.201575,128,[34 32 2 0 0 0 0 0 0 0 0 0 21 -17 22 -15 23 -14 26 -15 24 -11 25 -10 25 -8 23 -5 24 -6 23 -6 22 -5 22 -3 22 -4 19 -3 19 -2 18 -3 18 0 16 -1 16 -3 15 -3 15 -3 14 -5 14 -4 13 -5 15 -6 13 -6 0 0 15 -9 14 -10 13 -10 13 -10 14 -11 14 -12 15 -13 15 -13 13 -14 14 -12 15 -15 13 -14 14 -14 14 -15 14 -14 12 -13 12 -14 9 -16 10 -15 10 -16 8 -17 7 -16 6 -16 3 -18 3 -18 2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,A4:CF:12:33:A5:DD,-73,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,33077,0,131,0,0,0.21632,128,[-125 48 8 0 0 0 0 0 0 0 0 0 18 -16 32 -14 28 -17 28 -10 26 -14 25 -8 23 -6 23 -7 21 -4 21 -3 22 -2 21 -1 19 -4 18 -1 18 -2 18 -4 18 -2 15 -2 16 -4 14 -5 14 -3 14 -4 13 -5 13 -5 13 -8 13 -7 0 0 13 -10 12 -10 13 -11 11 -12 12 -10 12 -12 14 -13 13 -14 13 -16 12 -15 12 -14 10 -15 10 -15 10 -18 8 -14 9 -15 11 -17 10 -16 7 -18 6 -17 5 -17 4 -17 1 -15 -2 -16 -3 -17 -3 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,A4:CF:12:33:A5:DD,-72,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4037194,0,30,0,0,4.22046,128,[30 -32 1 0 0 0 0 0 0 0 0 0 14 -11 14 -9 15 -9 18 -7 17 -4 17 -3 19 0 18 3 18 3 18 4 17 7 18 9 18 7 15 9 15 9 16 9 16 11 14 10 15 9 17 10 15 10 15 9 15 9 17 9 17 8 18 8 0 0 18 7 18 4 19 4 19 2 21 2 20 2 22 3 21 2 23 0 24 1 24 0 22 -1 25 0 25 -2 24 -1 24 -2 25 -3 23 -1 23 -3 22 -2 22 -5 20 -4 21 -5 20 -6 19 -7 19 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:83:C1,-89,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4173807,0,369,0,0,4.35743,128,[113 17 23 0 10 -12 2 -4 10 -7 6 -8 4 -14 5 -8 1 -14 6 -6 0 -11 -1 -14 -3 -5 4 -10 -7 -5 -15 -3 -10 0 -10 -3 -9 3 -9 0 -7 4 -7 5 -9 5 -9 7 -9 9 -14 2 -11 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -5 -6 -3 -6 -2 -6 -4 -10 -1 -10 0 -11 -4 -15 -1 -12 -5 -17 -5 -13 -4 -21 -1 -19 -4 -18 -1 -22 0 -15 -1 -12 0 -14 -3 -11 -1 -14 4 -12 2 -6 2 -12 1 -5 2 -4 6 -8 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-82,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4818533,0,363,0,0,5.00183,128,[107 -79 22 0 1 -24 3 -16 -2 -9 1 -9 -3 -6 0 -5 3 -8 4 1 10 3 6 3 14 2 9 1 16 -2 15 -4 18 -3 21 -4 28 -8 22 -6 25 -6 31 -6 28 -13 27 -12 24 -3 26 -4 21 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 -8 -16 -8 -13 -11 -14 -12 -12 -13 -8 -12 -9 -17 -3 -17 0 -14 2 -17 5 -13 7 -14 6 -10 10 -13 17 -15 19 -17 19 -19 23 -18 19 -21 18 -22 17 -25 17 -25 15 -25 12 -28 5 -26 8 -26 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-78,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4845579,0,363,0,0,5.02849,128,[107 -79 22 0 17 25 17 27 17 30 17 27 17 30 19 32 19 31 21 26 24 25 24 27 23 29 25 27 25 25 23 25 22 22 21 21 19 19 19 17 13 15 15 11 12 9 11 9 7 6 6 4 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -4 3 -3 3 -4 4 -3 5 -5 5 -2 7 -5 7 -5 8 -4 9 -7 9 -6 10 -5 11 -5 10 -6 13 -4 12 -3 11 -2 13 -3 15 1 14 0 13 5 13 9 16 7 16 10 12 14 15 15 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-68,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5350641,0,363,0,0,5.53411,128,[107 -79 22 0 33 -2 30 -2 27 -1 23 -1 19 0 15 0 10 0 7 2 5 1 2 0 -3 0 -6 -1 -8 -1 -9 -1 -10 -2 -11 -3 -12 -5 -11 -6 -10 -7 -8 -8 -6 -7 -3 -8 -1 -7 2 -5 3 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 7 18 10 16 11 14 12 13 11 13 11 12 11 13 9 15 9 16 6 17 5 20 3 22 3 26 1 28 0 30 -1 33 -1 35 -4 37 -4 37 -4 40 -6 42 -7 42 -6 43 -6 42 -5 42 -5 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-68,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5350931,0,369,0,0,5.54009,128,[113 17 23 0 34 3 28 3 29 4 21 4 18 4 15 3 10 2 8 2 5 2 1 1 -3 0 -6 -1 -7 -2 -7 -3 -10 -5 -12 -6 -11 -5 -11 -8 -8 -10 -7 -9 -5 -7 -2 -9 0 -6 2 -4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 10 17 10 14 13 15 14 13 14 11 13 12 13 12 11 14 10 16 10 17 8 21 6 23 5 25 4 27 2 31 4 32 3 38 2 36 1 39 1 41 1 40 0 45 0 42 1 41 2 42 1 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-68,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5351244,0,267,0,0,5.54536,128,[11 -79 16 0 -22 -25 -19 -26 -17 -21 -16 -21 -12 -16 -11 -13 -8 -11 -5 -7 -3 -4 -2 -3 3 1 2 5 5 5 4 8 6 10 3 11 4 13 2 13 1 12 -1 12 -3 9 -3 6 -5 3 -5 0 -5 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -21 -4 -20 -3 -21 0 -21 1 -19 0 -19 -1 -16 -2 -17 -3 -18 -7 -17 -7 -18 -9 -21 -13 -22 -14 -23 -20 -24 -20 -26 -23 -27 -23 -25 -26 -29 -29 -30 -33 -30 -30 -31 -32 -30 -30 -34 -29 -33 -30 -32 ]
CSI_DATA,STA,A4:CF:12:33:A5:DD,-73,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6480354,0,131,0,0,6.66401,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -6 -26 -3 -27 -3 -28 -2 -29 1 -27 3 -27 4 -26 5 -26 6 -25 7 -23 8 -24 8 -23 7 -23 9 -20 9 -21 7 -20 8 -19 7 -18 7 -18 6 -16 6 -16 4 -15 4 -15 2 -15 3 -15 1 -16 0 0 -1 -17 -1 -16 -2 -16 -3 -16 -4 -16 -5 -18 -6 -19 -6 -17 -7 -18 -6 -21 -9 -20 -7 -20 -8 -20 -8 -20 -7 -20 -9 -20 -9 -18 -9 -18 -9 -17 -9 -15 -8 -14 -12 -14 -12 -15 -14 -12 -14 -11 -15 -10 0 0 0 0 0 0 0 0 0 0 ]
