type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,A4:CF:12:33:A5:DD,-72,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,19999,0,34,0,0,0.200958,128,[34 32 2 0 0 0 0 0 0 0 0 0 23 6 21 8 21 9 20 11 18 11 18 15 16 14 15 14 13 16 14 15 14 16 11 17 10 16 11 12 10 15 9 13 8 13 8 12 8 13 9 11 12 10 10 12 10 10 10 11 10 11 12 9 0 0 16 9 14 10 18 10 16 9 17 10 20 9 21 11 19 9 21 10 20 11 22 12 21 12 22 11 22 10 22 10 22 10 21 8 21 8 22 6 22 6 22 5 21 4 22 1 23 0 22 -2 24 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,A4:CF:12:33:A5:DD,-71,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,33284,0,131,0,0,0.213788,128,[-125 48 8 0 0 0 0 0 0 0 0 0 22 3 23 5 22 5 22 7 21 9 21 10 18 10 19 12 18 12 15 13 16 14 15 13 13 14 13 14 11 13 13 13 12 12 10 10 10 11 11 10 10 11 11 10 12 10 13 9 14 10 14 8 0 0 16 8 18 8 19 8 19 9 17 10 20 9 21 9 19 10 21 9 22 10 22 10 19 10 21 9 22 9 20 8 21 8 21 6 21 7 20 5 20 5 23 3 20 2 21 0 22 -2 20 -1 19 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,A4:CF:12:33:A5:DD,-70,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4037375,0,30,0,0,4.21794,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -14 -23 -14 -24 -13 -25 -12 -27 -9 -27 -7 -27 -5 -28 -5 -26 -4 -25 -3 -25 -4 -26 -4 -25 -2 -24 -3 -24 -4 -21 -5 -21 -3 -20 -5 -20 -5 -20 -6 -19 -5 -20 -8 -19 -6 -18 -9 -19 -10 -19 -10 -19 0 0 -9 -19 -12 -19 -12 -19 -12 -19 -12 -18 -12 -19 -13 -19 -12 -19 -13 -18 -13 -18 -13 -18 -12 -15 -13 -17 -12 -16 -12 -15 -12 -14 -12 -15 -11 -15 -11 -13 -12 -14 -11 -13 -11 -12 -11 -12 -11 -12 -11 -11 -12 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D7:00:E0,-88,10,0,0,0,0,0,0,0,0,0,-96,0,1,0,4226750,0,363,0,0,4.40768,128,[107 -79 22 0 15 3 15 0 16 5 14 3 11 3 13 3 18 2 21 2 19 1 20 5 14 0 19 -4 23 2 9 -2 17 -6 15 -6 10 -4 13 -4 9 -8 12 -10 5 -6 9 -2 8 -5 0 -7 2 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 -1 -5 0 -5 0 -4 3 -8 -1 -4 0 -3 5 -3 3 -6 5 -1 7 -2 6 -2 10 -5 8 -1 9 1 10 0 6 -2 10 -3 14 0 9 2 6 3 8 2 12 -5 9 -2 9 2 12 -1 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-80,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4799156,0,363,0,0,4.97979,128,[107 -79 22 0 -21 23 -16 26 -21 25 -19 21 -13 21 -19 20 -14 18 -19 21 -15 16 -18 13 -21 18 -19 13 -23 13 -27 15 -22 13 -32 9 -27 9 -26 7 -28 9 -30 7 -28 9 -22 11 -23 7 -19 6 -16 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -5 -4 -5 -4 -1 -6 -4 -9 -2 -11 -3 -6 -7 -8 -5 -9 -6 -7 -4 -8 -5 -8 1 -13 1 -10 3 -16 4 -14 3 -16 10 -17 13 -14 12 -17 13 -26 15 -19 18 -22 18 -20 23 -22 26 -17 25 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-81,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4871763,0,363,0,0,5.05198,128,[107 -79 22 0 11 10 7 6 1 7 2 5 -2 3 -3 3 -4 -1 -3 -1 -9 0 -8 5 -13 3 -17 5 -16 5 -15 9 -21 7 -22 8 -20 10 -16 10 -16 9 -20 7 -23 6 -22 10 -23 6 -19 7 -20 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 12 3 11 9 12 16 8 16 6 16 5 21 4 22 2 25 -3 26 -1 22 -1 24 4 23 6 26 6 27 5 28 9 25 13 25 14 24 13 23 18 19 19 23 19 21 21 21 20 15 17 13 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A1,-82,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4872062,0,369,0,0,5.0575,128,[113 17 23 0 -3 13 -6 9 -5 6 -5 4 -4 3 -3 0 -6 -1 -5 0 -5 -8 -7 -6 -10 -8 -12 -10 -17 -11 -16 -13 -16 -15 -17 -17 -12 -15 -16 -13 -16 -12 -18 -14 -17 -13 -18 -17 -16 -15 -14 -17 -13 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 11 -1 14 -3 14 -8 15 -12 13 -16 11 -18 12 -18 14 -21 9 -24 14 -24 10 -25 13 -23 14 -22 17 -21 16 -20 14 -19 23 -14 20 -11 23 -14 26 -12 26 -13 24 -13 27 -10 23 -9 24 -9 20 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-68,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5304898,0,363,0,0,5.48552,128,[107 -79 22 0 -37 0 -39 -2 -40 -2 -42 -2 -41 -2 -40 -3 -40 -3 -39 -2 -38 -2 -36 -1 -32 -2 -31 -2 -27 0 -25 0 -21 1 -19 3 -15 3 -12 5 -10 7 -8 9 -5 13 -5 16 -6 18 -9 20 -12 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 9 -8 8 -8 6 -6 5 -5 5 -6 5 -5 4 -4 5 -4 4 -3 5 -3 5 -3 5 -2 5 -4 5 -3 5 -7 3 -7 4 -9 3 -9 4 -12 4 -14 4 -17 3 -22 3 -23 3 -26 3 -31 2 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-69,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5305206,0,369,0,0,5.49144,128,[113 17 23 0 12 -36 13 -37 16 -36 14 -38 15 -38 15 -38 14 -38 16 -36 13 -36 13 -33 11 -31 8 -30 9 -26 6 -23 6 -21 2 -19 0 -15 -2 -14 -5 -12 -9 -10 -12 -10 -15 -10 -17 -12 -18 -14 -17 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -11 -6 -11 -5 -11 -2 -9 -3 -8 -4 -8 -4 -6 -4 -5 -4 -5 -4 -4 -3 -3 -5 -5 -4 -7 -4 -6 -4 -7 -3 -7 -1 -6 -1 -9 0 -12 -1 -13 -2 -17 2 -19 4 -20 4 -25 6 -27 9 -28 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-69,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5305510,0,267,0,0,5.49737,128,[11 -79 16 0 29 -26 31 -30 30 -30 34 -32 33 -31 32 -31 33 -31 34 -29 29 -29 27 -28 25 -27 23 -25 21 -24 19 -23 15 -19 10 -18 7 -15 5 -14 0 -14 -3 -13 -8 -16 -9 -17 -11 -19 -12 -22 -12 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -15 1 -12 1 -11 -1 -11 0 -9 0 -8 1 -9 -1 -7 -2 -8 -2 -6 -3 -7 -4 -7 -2 -6 -2 -7 -1 -9 1 -9 0 -8 5 -10 4 -13 6 -10 6 -14 10 -18 14 -20 13 -23 18 -26 23 -26 ]
