type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,17545,0,34,0,0,0.187884,128,[34 32 2 0 0 0 0 0 0 0 0 0 -22 2 -24 3 -24 4 -26 5 -26 3 -28 4 -28 3 -29 3 -30 3 -31 1 -31 2 -32 0 -30 1 -31 0 -30 -2 -30 -2 -29 -2 -27 -3 -27 -4 -26 -3 -25 -3 -24 -3 -22 -2 -22 -1 -21 -1 -21 0 0 0 -19 2 -17 2 -19 3 -17 3 -16 2 -15 4 -15 3 -14 4 -13 4 -12 4 -12 4 -11 4 -10 5 -9 5 -8 4 -8 4 -6 4 -6 4 -5 4 -4 4 -4 4 -3 3 -1 2 0 3 0 3 2 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,30747,0,131,0,0,0.200693,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -23 10 -24 12 -25 13 -26 14 -27 13 -28 13 -28 14 -30 13 -31 13 -32 12 -32 13 -33 12 -33 11 -33 11 -33 10 -33 10 -31 9 -30 8 -29 7 -28 8 -27 7 -26 7 -24 5 -23 8 -23 9 -22 8 0 0 -19 9 -18 9 -17 10 -16 9 -15 10 -14 8 -13 9 -14 8 -12 9 -12 9 -10 10 -10 7 -7 8 -7 8 -6 7 -5 8 -4 5 -4 5 -3 5 -2 5 -2 3 0 3 0 2 2 1 3 0 4 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4034924,0,30,0,0,4.20491,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -4 20 -4 22 -4 22 -4 24 -5 24 -7 25 -7 25 -7 25 -9 26 -9 24 -9 26 -10 26 -11 26 -11 26 -12 25 -12 25 -12 24 -12 22 -13 23 -12 23 -12 21 -12 21 -11 19 -11 20 -10 20 -10 19 0 0 -9 17 -7 17 -8 18 -6 16 -6 16 -5 15 -5 16 -4 14 -3 14 -3 14 -2 14 -1 12 0 13 0 13 1 11 2 12 2 11 2 11 4 11 3 10 4 10 4 10 4 10 5 10 5 10 5 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-91,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4822071,0,363,0,0,4.99238,128,[107 -79 22 0 8 -10 5 -10 5 -9 8 -10 3 -9 1 -13 6 -13 8 -10 3 -9 7 -5 4 -11 -1 -10 4 -9 3 -4 -3 -9 1 -5 3 -9 2 -4 3 -4 0 -4 -2 -8 -2 -3 -4 -6 3 -8 4 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -1 13 1 7 3 10 3 7 6 6 7 12 8 8 3 10 5 8 4 10 9 6 1 18 10 12 10 11 4 9 7 11 6 13 3 10 2 10 5 9 3 7 3 11 -1 11 -2 5 -2 2 1 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-82,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4850869,0,363,0,0,5.02051,128,[107 -79 22 0 4 8 10 0 4 6 2 -2 5 -2 2 -3 4 -9 1 -5 -4 -11 -1 -11 -7 -8 -3 -12 -3 -13 0 -12 2 -13 -2 -12 1 -14 7 -16 8 -12 9 -11 10 -8 13 -7 13 -4 11 3 12 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 7 0 8 -2 12 -3 15 -4 18 -2 23 -1 24 -3 29 -5 32 -5 32 -7 36 -4 34 -7 35 -4 37 -3 33 -3 33 1 34 4 31 3 28 1 27 3 26 3 25 1 21 3 21 3 15 5 16 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5356486,0,363,0,0,5.52665,128,[107 -79 22 0 4 -6 3 -4 3 -2 3 -1 2 2 2 4 5 5 6 7 6 8 9 10 9 8 12 10 12 11 10 12 10 13 8 11 7 12 4 11 2 10 0 8 0 5 0 5 -2 1 -3 0 -3 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -15 6 -14 10 -13 13 -11 17 -10 19 -10 23 -8 28 -5 30 -4 34 -3 36 -3 39 -3 39 -2 41 -5 43 -4 42 -6 41 -7 38 -9 38 -11 34 -13 31 -13 28 -15 24 -13 21 -14 17 -9 13 -11 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5356877,0,369,0,0,5.53255,128,[113 17 23 0 0 -6 -2 -6 -3 -3 3 0 5 1 5 -3 7 1 8 -1 10 0 12 1 14 0 15 1 12 2 14 3 15 2 14 3 10 4 10 5 7 3 6 5 4 6 3 4 1 2 -2 1 -3 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -11 -6 -13 -5 -16 -2 -15 2 -17 7 -22 8 -22 13 -24 17 -25 20 -29 21 -32 22 -31 25 -32 25 -33 23 -34 22 -33 22 -34 19 -35 15 -36 15 -33 11 -34 10 -29 5 -28 5 -23 0 -19 0 -19 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5357181,0,267,0,0,5.53806,128,[11 -79 16 0 -5 0 -3 -3 -2 -3 -1 -3 1 -6 2 -6 0 -9 0 -9 4 -14 1 -12 4 -16 0 -14 3 -14 4 -14 5 -17 5 -15 5 -13 5 -11 7 -11 5 -6 4 -2 3 -2 2 0 0 1 -2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 9 -13 5 -15 3 -16 -1 -19 -4 -17 -9 -22 -10 -21 -15 -25 -19 -27 -24 -27 -24 -28 -28 -29 -30 -29 -30 -31 -27 -35 -27 -34 -24 -33 -24 -34 -20 -34 -19 -29 -14 -31 -13 -28 -9 -24 -7 -21 -6 -18 -5 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6479370,0,131,0,0,6.64976,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -17 -14 -18 -16 -19 -17 -20 -17 -21 -18 -20 -19 -20 -20 -21 -22 -20 -23 -20 -23 -21 -24 -20 -26 -19 -25 -18 -26 -17 -26 -17 -26 -15 -26 -14 -24 -13 -24 -13 -23 -12 -22 -11 -23 -12 -21 -14 -20 -14 -20 -14 -19 0 0 -15 -18 -14 -17 -15 -17 -15 -16 -14 -16 -14 -16 -14 -16 -14 -14 -14 -14 -14 -13 -15 -12 -14 -11 -15 -11 -15 -9 -13 -9 -14 -8 -15 -7 -15 -7 -14 -7 -14 -5 -15 -4 -14 -4 -15 -4 -15 -1 -15 -1 -15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6479814,0,135,0,0,6.65714,128,[-121 112 8 0 0 0 0 0 0 0 0 0 8 -19 8 -21 10 -22 8 -25 10 -25 12 -24 12 -25 12 -26 13 -27 14 -28 14 -27 17 -27 18 -25 17 -24 18 -24 20 -23 17 -21 16 -20 19 -20 16 -20 16 -19 16 -19 16 -17 14 -18 13 -19 12 -18 0 0 11 -20 12 -19 10 -20 10 -20 10 -18 9 -19 8 -18 7 -19 8 -18 6 -17 5 -16 5 -17 5 -16 3 -18 3 -15 2 -16 1 -17 2 -16 1 -15 -2 -16 -1 -14 -2 -14 -3 -14 -3 -14 -6 -14 -6 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6516856,0,239,0,0,6.6872,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 21 2 23 2 24 1 25 2 25 2 26 4 27 4 27 5 28 7 27 8 29 8 29 9 29 11 28 11 27 13 27 12 24 13 23 13 23 13 22 12 21 12 21 12 20 11 20 9 21 9 21 9 0 0 20 8 20 8 20 7 19 6 19 6 19 6 18 5 18 6 18 5 17 3 18 3 16 2 17 2 16 1 15 0 15 0 14 0 14 -2 15 -2 14 -2 14 -4 13 -4 14 -4 13 -6 12 -7 12 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-71,11,1,4,1,1,1,0,0,0,0,-96,0,9,1,8024055,0,82,0,0,8.19431,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -10 -18 -9 -19 -8 -20 -11 -22 -12 -22 -12 -21 -12 -19 -14 -22 -15 -21 -17 -21 -17 -20 -17 -20 -18 -20 -18 -20 -18 -20 -18 -17 -18 -16 -18 -17 -18 -16 -16 -16 -17 -15 -16 -13 -16 -15 -14 -15 -15 -14 -14 0 0 -15 -13 -15 -12 -15 -11 -15 -11 -14 -11 -14 -11 -14 -10 -14 -10 -14 -9 -14 -7 -14 -6 -13 -7 -12 -5 -12 -5 -12 -4 -12 -3 -10 -3 -11 -3 -8 -1 -11 -1 -10 0 -10 1 -9 2 -8 1 -6 2 -7 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-65,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,8024162,0,37,0,0,8.20154,128,[37 80 2 0 0 0 0 0 0 0 0 0 -4 19 -4 20 -5 21 -5 23 -6 23 -6 24 -6 24 -8 25 -9 25 -9 25 -10 26 -11 27 -11 26 -11 26 -13 26 -12 24 -13 24 -12 21 -13 22 -12 21 -11 21 -11 20 -9 18 -9 20 -9 20 -8 20 0 0 -7 19 -6 19 -7 20 -5 18 -5 18 -4 18 -5 17 -4 16 -3 16 -3 15 -2 16 -2 14 -1 13 0 13 0 12 0 12 2 10 2 11 3 10 2 8 3 9 5 8 5 6 5 6 6 5 6 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-65,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,8125681,0,37,0,0,8.29578,128,[37 80 2 0 0 0 0 0 0 0 0 0 9 -22 9 -23 10 -24 10 -26 12 -26 13 -27 13 -28 15 -27 15 -28 18 -27 17 -28 20 -28 19 -27 20 -26 20 -26 19 -26 19 -24 19 -22 20 -23 18 -22 17 -22 17 -21 16 -19 15 -21 15 -21 14 -20 0 0 13 -20 12 -20 12 -21 11 -19 10 -19 10 -19 9 -18 9 -18 8 -17 7 -17 7 -17 5 -15 4 -14 3 -15 2 -14 1 -14 0 -14 0 -13 -2 -12 -1 -12 -3 -11 -4 -10 -4 -10 -6 -9 -6 -9 -8 -7 0 0 0 0 0 0 0 0 0 0 ]
