type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,19477,0,34,0,0,0.191338,128,[34 32 2 0 0 0 0 0 0 0 0 0 26 -5 27 -5 26 -6 28 -6 28 -5 29 -6 29 -5 28 -5 30 -4 30 -3 31 -3 31 -2 30 -2 30 -1 29 -1 29 -1 27 0 27 0 26 0 26 0 24 1 23 1 21 1 22 -1 21 0 20 -1 0 0 19 -1 18 -2 17 -2 16 -2 15 -2 15 -2 14 -3 13 -2 11 -2 10 -3 10 -3 8 -2 8 -3 7 -4 5 -4 5 -5 4 -5 4 -6 3 -5 2 -6 1 -5 0 -5 0 -5 -1 -5 -1 -5 -4 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-67,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,33943,0,131,0,0,0.205453,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -25 -16 -25 -16 -27 -17 -27 -16 -28 -17 -27 -18 -28 -17 -28 -19 -28 -20 -28 -20 -28 -20 -28 -21 -27 -22 -27 -21 -25 -22 -27 -20 -24 -20 -23 -21 -23 -20 -22 -20 -21 -19 -20 -19 -19 -17 -20 -16 -19 -15 -19 -15 0 0 -18 -13 -18 -12 -17 -11 -17 -10 -16 -10 -15 -10 -15 -9 -14 -8 -13 -8 -12 -7 -13 -5 -12 -4 -12 -3 -11 -2 -11 -1 -10 -1 -9 0 -9 1 -7 1 -7 1 -7 2 -7 2 -6 2 -5 3 -4 3 -3 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-66,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,4038211,0,30,0,0,4.20973,128,[30 -32 1 0 0 0 0 0 0 0 0 0 24 -8 25 -9 26 -10 27 -10 28 -10 29 -8 30 -9 30 -8 31 -8 31 -8 32 -8 33 -7 33 -6 33 -6 32 -6 33 -6 30 -4 32 -4 32 -4 31 -4 29 -4 29 -3 28 -2 28 -3 27 -4 26 -2 0 0 23 -3 22 -4 20 -3 20 -3 18 -3 16 -4 15 -4 13 -4 13 -4 11 -5 10 -5 8 -5 7 -5 6 -7 5 -7 4 -7 4 -7 3 -8 2 -8 1 -7 0 -8 1 -9 -1 -9 -1 -9 -2 -10 -3 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-85,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4788615,0,363,0,0,4.96047,128,[107 -79 22 0 -3 -2 -1 1 -5 -1 -13 -8 -10 2 -13 -1 -14 0 -26 -1 -24 4 -21 6 -27 5 -24 2 -22 5 -24 4 -28 -5 -26 -4 -24 1 -22 0 -22 -8 -18 -12 -19 -2 -16 -7 -14 -9 -6 -12 -9 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 10 -11 10 -10 6 -9 8 -11 4 -13 5 -11 7 -9 11 -2 9 -3 11 0 14 2 12 1 14 6 16 4 16 7 22 13 17 17 24 17 21 16 18 14 17 15 16 18 18 9 12 3 14 4 13 ]
CSI_DATA,STA,00:DF:1D:D4:90:E0,-80,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4817161,0,363,0,0,4.98835,128,[107 -79 22 0 2 12 -5 9 -4 8 -3 10 -6 9 -7 10 -8 7 -11 8 -12 9 -8 4 -11 5 -13 7 -12 5 -11 3 -11 2 -11 0 -7 -4 -3 -4 1 -1 0 -3 4 -5 2 -4 5 -3 8 0 12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 26 -5 26 -5 30 -10 29 -11 32 -12 34 -10 35 -13 37 -10 32 -13 37 -12 35 -12 35 -6 35 -8 31 -3 30 -3 27 0 24 6 24 4 24 4 24 6 18 4 21 7 15 3 17 4 15 3 15 ]
CSI_DATA,STA,00:DF:1D:D4:6F:A0,-85,10,0,0,0,0,0,0,0,0,0,-96,0,6,0,4891025,0,363,0,0,5.06242,128,[107 -79 22 0 0 -2 0 -3 6 -2 9 3 12 -2 11 1 16 0 12 -4 21 0 23 -4 23 -6 25 -4 28 -3 27 -3 29 -6 30 -1 29 0 23 2 23 4 21 3 24 3 14 5 11 8 12 13 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -10 10 -4 12 -7 13 -4 12 -4 10 -8 11 -7 11 -5 8 -5 2 -12 4 -14 -1 -14 0 -19 -7 -16 -6 -22 -4 -21 -13 -21 -16 -26 -14 -25 -14 -22 -11 -22 -19 -24 -14 -21 -12 -13 -11 -11 -5 -8 ]
CSI_DATA,STA,00:DF:1D:D4:49:C0,-72,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5322618,0,363,0,0,5.49424,128,[107 -79 22 0 -17 -22 -17 -21 -17 -21 -16 -18 -15 -17 -13 -16 -13 -14 -11 -15 -9 -14 -8 -12 -5 -13 -2 -12 0 -11 3 -11 6 -10 10 -9 12 -7 16 -6 18 -5 20 -3 22 -1 24 0 24 2 24 6 23 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 5 12 3 10 0 9 -2 9 -4 8 -6 7 -9 7 -11 5 -13 5 -17 3 -19 2 -20 0 -21 -2 -23 -4 -23 -6 -24 -7 -25 -10 -24 -11 -25 -12 -25 -13 -24 -16 -23 -17 -25 -17 -24 -17 -24 -19 -25 ]
CSI_DATA,STA,00:DF:1D:D4:49:C1,-71,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5322927,0,369,0,0,5.50064,128,[113 17 23 0 -21 -25 -20 -22 -21 -22 -18 -21 -17 -17 -19 -17 -13 -16 -14 -16 -11 -16 -7 -14 -7 -14 -3 -11 1 -12 3 -13 6 -11 12 -10 13 -9 17 -8 19 -7 22 -3 24 -3 27 1 26 3 28 6 24 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 2 13 1 12 -1 10 -2 9 -7 7 -10 7 -10 5 -13 5 -14 3 -20 0 -21 -2 -23 -3 -25 -5 -25 -6 -23 -10 -27 -10 -24 -14 -28 -16 -26 -17 -27 -20 -27 -18 -27 -23 -25 -24 -24 -23 -23 -24 -24 ]
CSI_DATA,STA,00:DF:1D:D4:49:C2,-72,10,0,0,0,0,0,0,0,0,0,-96,0,11,0,5323221,0,267,0,0,5.50671,128,[11 -79 16 0 -15 29 -14 25 -12 27 -11 26 -10 25 -10 21 -11 19 -8 17 -10 15 -10 15 -11 10 -12 8 -13 4 -12 0 -13 -3 -14 -8 -17 -12 -14 -15 -14 -18 -14 -21 -14 -22 -11 -24 -8 -28 -5 -28 -3 -29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -16 -4 -12 -5 -11 -7 -10 -8 -8 -11 -5 -14 -2 -14 -2 -18 1 -18 2 -20 5 -17 6 -21 10 -20 14 -20 15 -18 17 -20 19 -19 22 -19 23 -18 24 -18 26 -15 26 -13 29 -12 28 -12 31 -11 27 ]
CSI_DATA,STA,24:6F:28:28:18:C1,-68,11,0,0,0,0,0,0,0,0,0,-96,0,9,1,6485990,0,131,0,0,6.65789,128,[-125 48 8 0 0 0 0 0 0 0 0 0 25 7 27 8 27 7 29 9 28 8 30 10 30 10 30 11 32 11 30 11 32 12 32 14 32 13 32 14 30 16 30 15 29 16 27 16 26 16 25 15 23 15 23 13 21 12 20 12 21 11 19 10 0 0 17 8 16 6 16 6 15 5 15 4 13 3 12 3 11 3 9 0 9 -1 9 -1 6 -3 6 -4 6 -5 4 -5 3 -8 3 -7 2 -8 2 -8 1 -9 0 -10 -1 -10 -2 -10 -3 -11 -4 -11 -5 -12 0 0 0 0 0 0 0 0 0 0 ]
