timestamp,csi_data
2024-03-04 15:52:51,"[-113, 18, 116, 31, -59, 80, -90, -68, 6, -10, 128, 60, -99, 0, 18, -41, 59, -37, -99, -109, 89, -122, 75, 7, 35, 80, -23, 3, 126, 62, 48, 59, -85, -67, 9, -19, 94, -47, -40, -124, 90, 87, 12, -123, -103, 65, -10, -121, -20, 16, -81, -93, -62, -86, 6, -22, 56, -39, 29, -53, 13, 120, 55, 36, 90, -119, 78, 115, 29, 12, -77, 12, -3, -89, 35, 21, -106, 37, -91, -65, -73, -106, 42, 93, 56, -114, 42, -62, 97, 78, 123, -33, 37]"
2024-03-04 20:10:28,"[0, 1, 2]"
2024-03-04 20:10:58,"[-46, 105, -101, 11, 15, 104, 46, -45, -96, -82, 121, 21, 17, -1, -84, 48, 88, 34, -117, -67, 82, -62, -77, 119, -16, 59, -17, -37, 86, -50, -12, -107, 73, -100, -111, -89, -36, 0, 109, -16, 94, -112, 46, -118, 71, -77, -72, -124, 52, -56, 19, -33, -8, 70, -67, 29, -47, -26, -28, 0, -98, 47, -102, -65, 69, -94, -81, 5, -120, 77, -26, -70, -58, -7, 77, -44, 19, -46, -110, -67, 90, -121, 10, 16, 12, 50, -115, -37, 107, -104, 71, 36, -22, -19, -77, 90, 95, -27, -30, -12, -39, -98, 118, 76, -106, 126, 3, -5, 111, -92, -72, 84, 12, -53, -62, 101, -4, 81, -89, -86, -58, -124, 51, -48, 112, -22, 7, 101]"
2024-03-04 20:12:22,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, -18, -1, -18, -1, -19, -2, -18, -2, -19, -3, -18, -3, -18, -4, -17, -5, -17, -5, -17, -4, -17, -5, -17, -6, -16, -5, -16, -5, -16, -5, -16, -6, -15, -5, -16, -6, -15, -6, -15, -6, -14, -6, -14, -5, -14, -4, -14, -5, -14, -4, 0, 0, -13, -4, -13, -4, -13, -3, -13, -3, -13, -3, -13, -3, -13, -2, -12, -2, -12, -2, -12, -1, -12, -1, -12, -1, -12, 0, -12, 0, -12, 1, -12, 1, -12, 1, -12, 1, -12, 2, -12, 2, -12, 2, -11, 2, -11, 3, -12, 4, -11, 4, -11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:25,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -16, -1, -16, -1, -16, 0, -16, 0, -16, 1, -17, 1, -16, 2, -16, 2, -16, 2, -15, 3, -16, 3, -15, 3, -15, 3, -15, 3, -15, 3, -14, 3, -14, 3, -14, 3, -15, 4, -14, 3, -14, 3, -13, 3, -13, 3, -13, 2, -13, 2, -13, 0, 0, 2, -13, 1, -12, 1, -13, 1, -12, 1, -13, 1, -12, 0, -12, 0, -12, 0, -11, -1, -12, -1, -12, -1, -11, -1, -11, -1, -11, -2, -11, -2, -12, -3, -11, -2, -11, -3, -11, -4, -11, -3, -11, -4, -11, -4, -11, -5, -11, -5, -11, -5, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:28,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -7, -16, -8, -16, -9, -16, -9, -16, -9, -15, -10, -16, -10, -15, -10, -14, -11, -14, -11, -14, -11, -13, -11, -14, -11, -14, -11, -13, -11, -12, -11, -12, -11, -12, -10, -12, -11, -12, -11, -12, -11, -11, -10, -11, -10, -12, -10, -11, -9, -11, -9, 0, 0, -11, -9, -11, -9, -11, -8, -11, -8, -11, -8, -11, -8, -11, -7, -11, -7, -11, -7, -11, -6, -11, -6, -12, -5, -12, -5, -12, -5, -11, -5, -12, -4, -12, -4, -12, -4, -12, -3, -12, -4, -12, -3, -13, -3, -12, -2, -12, -2, -12, -2, -13, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:31,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, -10, 15, -10, 15, -9, 14, -9, 15, -8, 15, -8, 15, -7, 16, -6, 15, -7, 16, -6, 15, -6, 15, -6, 15, -5, 15, -5, 15, -5, 15, -5, 14, -5, 14, -4, 14, -4, 14, -4, 13, -4, 13, -4, 13, -4, 13, -5, 12, -5, 12, -5, 0, 0, 11, -5, 11, -5, 11, -5, 10, -5, 11, -5, 11, -6, 10, -6, 10, -6, 9, -6, 9, -7, 9, -7, 9, -7, 8, -7, 9, -7, 8, -7, 8, -8, 8, -8, 8, -9, 8, -9, 7, -9, 7, -9, 7, -9, 7, -10, 6, -10, 6, -10, 6, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:34,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -17, 0, -18, 0, -17, 1, -17, 1, -17, 2, -17, 2, -17, 3, -17, 3, -17, 4, -17, 4, -16, 4, -16, 4, -16, 4, -15, 4, -15, 4, -15, 4, -15, 4, -15, 4, -14, 4, -14, 4, -14, 4, -14, 4, -13, 3, -13, 3, -13, 3, -13, 0, 0, 3, -12, 2, -12, 2, -12, 2, -12, 2, -12, 2, -12, 1, -12, 1, -12, 1, -11, 0, -11, 0, -11, 0, -11, -1, -11, -1, -11, -1, -11, -2, -11, -2, -12, -2, -12, -2, -11, -2, -11, -3, -11, -3, -11, -3, -11, -4, -11, -4, -11, -4, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:37,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 8, -17, 8, -17, 7, -18, 7, -18, 6, -18, 6, -18, 5, -18, 5, -18, 5, -18, 4, -18, 3, -18, 3, -18, 3, -17, 2, -17, 2, -17, 3, -17, 2, -16, 2, -17, 2, -16, 2, -16, 2, -16, 2, -15, 2, -15, 2, -15, 2, -14, 2, 0, 0, -14, 2, -14, 3, -13, 3, -13, 3, -13, 4, -13, 4, -13, 4, -12, 4, -12, 4, -12, 5, -12, 5, -12, 5, -11, 6, -11, 6, -11, 5, -11, 6, -10, 6, -10, 6, -10, 7, -9, 6, -9, 8, -10, 7, -10, 8, -9, 8, -9, 8, -9, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024-03-04 20:12:40,"[84, -64, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 2, 15, 1, 15, 0, 16, 0, 15, 0, 15, -1, 16, -2, 15, -1, 15, -2, 15, -2, 15, -2, 14, -3, 14, -3, 14, -3, 14, -3, 14, -3, 13, -3, 13, -3, 13, -3, 13, -2, 12, -3, 12, -3, 12, -2, 12, -2, 12, -2, 11, 0, 0, -1, 11, -2, 11, -1, 12, -1, 11, 0, 11, 0, 10, 0, 11, 0, 10, 1, 10, 0, 10, 1, 10, 1, 10, 1, 10, 2, 10, 2, 9, 2, 9, 3, 9, 3, 9, 3, 9, 4, 9, 4, 9, 4, 9, 4, 9, 5, 8, 5, 8, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
